1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1120,468.0,4.0,-1,0,-1,0,680,2,1991.0,1588,1,17120,80.0,0.0,59,4,4,0,1959,1959,134432
1125,0.0,2.0,0,0,2,1125,430,1,2007.0,1125,1,8536,74.0,0.0,64,5,5,1125,2006,2007,155000
520,600.0,2.0,0,0,2,600,480,0,2005.0,1200,0,3180,30.0,0.0,166,5,7,600,2005,2005,151000
798,842.0,3.0,0,0,2,798,520,0,2004.0,1640,0,8366,65.0,0.0,45,5,6,798,2004,2004,173000
1223,904.0,3.0,0,1000,0,223,525,0,1994.0,2127,0,10944,81.0,448.0,132,5,7,1223,1994,1994,271000
972,0.0,2.0,0,680,1,292,240,1,1948.0,972,1,8000,50.0,0.0,0,6,6,972,1948,2002,132000
1142,878.0,3.0,0,584,0,544,466,0,1995.0,2020,0,9828,80.0,0.0,155,5,8,1128,1995,1995,239500
1144,0.0,3.0,3,739,4,405,596,1,1956.0,1144,1,9571,68.0,0.0,0,6,5,1144,1956,1956,129000
1352,0.0,3.0,3,300,4,468,288,1,1958.0,1352,0,6930,92.0,120.0,0,4,5,1062,1958,1958,130000
926,0.0,3.0,0,234,5,0,484,1,1974.0,1316,1,5500,50.0,0.0,0,7,5,926,1929,2001,130000
1086,838.0,3.0,3,956,0,130,592,0,1998.0,1924,0,12011,78.0,530.0,75,5,8,1086,1998,1998,280000
1164,0.0,3.0,0,1040,1,124,240,1,1950.0,1164,1,10880,68.0,0.0,48,5,5,1164,1950,1950,125000
952,0.0,2.0,2,852,1,100,840,1,1988.0,952,1,7350,60.0,0.0,0,7,5,952,1951,1951,139000
938,1215.0,4.0,0,259,5,425,0,-1,1979.0,2358,1,5250,50.0,0.0,54,5,8,684,1872,1987,122000
1680,0.0,3.0,0,808,0,72,540,2,1988.0,1680,0,21695,69.0,260.0,44,9,6,880,1988,2007,222000
1221,691.0,3.0,0,0,2,482,672,1,2003.0,1912,1,10800,60.0,0.0,25,7,6,482,1905,2000,163000
1004,0.0,2.0,0,578,1,426,480,2,1970.0,1004,1,11241,69.0,180.0,0,7,6,1004,1970,1970,149000
774,456.0,3.0,0,384,1,363,305,1,1946.0,1230,1,4712,51.0,0.0,57,7,4,747,1946,1950,121600
1167,0.0,3.0,0,645,4,270,495,1,1972.0,1167,1,8731,98.0,0.0,0,5,5,915,1920,1950,144000
1301,0.0,2.0,2,405,5,740,440,1,1965.0,1301,3,6911,60.0,0.0,0,5,5,1145,1924,1950,100000
1453,0.0,3.0,1,1082,0,371,445,0,1986.0,1453,0,5271,69.0,0.0,80,5,7,1453,1986,1986,190000
1601,0.0,3.0,3,1358,0,223,670,0,2001.0,1601,0,11423,69.0,479.0,0,5,8,1581,2001,2002,272000
1588,0.0,3.0,3,0,2,1588,825,-1,2006.0,1588,0,10000,85.0,410.0,45,5,8,1588,2006,2006,227000
1095,0.0,2.0,1,513,1,75,264,-1,1958.0,1095,1,10382,75.0,105.0,0,5,6,588,1958,1958,140000
1050,0.0,3.0,0,915,3,135,368,1,1961.0,1050,1,10659,69.0,0.0,319,6,5,1050,1961,1961,136500
960,0.0,3.0,0,520,3,440,432,2,1965.0,960,1,10921,73.0,48.0,0,5,4,960,1965,1965,94750
1002,454.0,4.0,2,0,2,810,280,1,1954.0,1456,1,7585,50.0,0.0,0,3,5,810,1948,1950,91500
1489,0.0,3.0,0,0,2,1489,462,0,1968.0,1489,0,9156,69.0,0.0,0,7,6,1489,1968,1968,185750
1726,0.0,3.0,0,1126,-1,600,786,-1,2007.0,1726,2,9416,79.0,205.0,138,5,7,1726,2007,2007,311872
1362,720.0,3.0,0,0,2,1362,484,1,2003.0,2082,0,11426,63.0,0.0,238,5,7,1362,2003,2003,200000
1339,0.0,3.0,0,1053,1,256,484,2,1990.0,1339,1,8049,50.0,54.0,58,5,7,1309,1990,1990,180000
1310,1140.0,3.0,2,781,0,503,1069,2,1998.0,2450,0,16545,69.0,731.0,126,5,8,1284,1998,1998,340000
879,984.0,4.0,3,0,2,879,660,2,2006.0,1863,0,14054,58.0,0.0,17,5,7,879,2006,2006,219210
768,0.0,2.0,3,656,0,112,396,1,1988.0,768,1,8445,70.0,0.0,0,7,5,768,1972,2007,133000
334,0.0,1.0,-1,0,-1,0,0,-1,1979.0,334,3,5000,50.0,0.0,0,3,1,0,1946,1950,39300
1136,0.0,3.0,0,892,3,244,384,-1,1965.0,1136,1,9200,80.0,0.0,0,6,6,1136,1965,1965,140000
1337,0.0,2.0,0,1201,0,36,405,2,1998.0,1337,1,4500,32.0,443.0,199,5,6,1237,1998,1998,153500
912,0.0,2.0,0,312,3,0,288,1,1964.0,912,1,7800,66.0,0.0,0,5,5,912,1964,1964,115000
876,936.0,4.0,0,540,1,324,264,0,1962.0,1812,1,7590,69.0,288.0,168,5,5,864,1962,1962,169500
1052,720.0,4.0,0,378,-1,342,240,-1,1939.0,2192,0,8400,60.0,0.0,24,8,5,720,1939,1997,179500
658,526.0,5.0,0,0,2,658,0,-1,1979.0,1184,1,8410,58.0,0.0,151,3,5,658,1910,1996,81000
964,925.0,4.0,0,0,2,925,308,1,1960.0,1889,1,10120,60.0,0.0,0,4,7,925,1910,1950,122000
1327,0.0,3.0,0,405,3,658,624,1,1974.0,1327,0,7388,75.0,0.0,0,6,5,1063,1959,2002,150750
1422,0.0,3.0,0,588,-1,606,576,2,1981.0,1422,0,12090,78.0,210.0,0,6,6,1422,1981,1981,175500
1632,0.0,4.0,3,0,2,1632,576,1,1967.0,1632,1,25000,100.0,0.0,0,4,5,1632,1967,1967,143000
1630,0.0,3.0,0,0,-1,1630,451,1,2000.0,1630,0,9750,75.0,171.0,234,5,7,1630,2000,2001,213000
1013,0.0,2.0,0,0,2,1013,0,-1,1979.0,1526,3,8470,105.0,0.0,0,2,3,1013,1915,1982,85000
1040,0.0,2.0,-1,0,-1,0,420,1,1956.0,1040,1,7200,60.0,0.0,0,5,4,0,1949,1950,90000
841,806.0,4.0,0,0,2,806,216,1,1920.0,1647,3,6858,66.0,0.0,66,4,6,806,1915,1950,128000
1328,653.0,4.0,0,622,4,500,576,1,1981.0,1981,0,7804,65.0,0.0,44,3,4,1122,1928,1950,135000
1644,0.0,3.0,0,1285,0,131,418,2,1953.0,1644,1,9600,80.0,238.0,0,5,6,1416,1953,1953,167000
1482,1092.0,3.0,0,0,2,1482,868,2,2007.0,2574,2,9588,69.0,270.0,148,5,8,1482,2007,2007,276000
1060,764.0,3.0,0,0,2,764,520,1,1940.0,1824,1,13515,60.0,0.0,0,6,6,764,1919,1950,180500
1350,0.0,3.0,1,624,0,288,520,0,1964.0,1350,1,9020,82.0,259.0,0,5,6,1248,1964,1964,168500
958,0.0,2.0,0,958,5,0,440,0,1976.0,958,1,4928,69.0,0.0,60,6,6,958,1976,1976,143750
1053,795.0,4.0,0,0,2,833,370,1,1922.0,1848,0,13053,64.0,0.0,0,7,6,833,1923,2000,207000
1620,0.0,3.0,0,1116,4,165,490,1,1993.0,1620,1,9991,69.0,0.0,78,4,4,1281,1976,1993,150000
1167,0.0,3.0,0,560,0,598,400,0,1992.0,1167,0,9248,69.0,106.0,26,6,6,1158,1992,1992,173000
798,0.0,3.0,0,94,5,641,220,1,1949.0,1487,1,8741,52.0,0.0,140,4,6,735,1945,1950,113000
892,0.0,3.0,0,432,4,460,288,0,1967.0,892,1,7150,65.0,60.0,0,5,5,892,1967,1967,100000
804,0.0,3.0,0,510,4,278,240,1,1940.0,804,0,7200,60.0,294.0,0,7,5,788,1940,1992,119000
1140,0.0,3.0,0,0,2,1140,0,-1,1979.0,1140,1,17217,90.0,0.0,56,5,5,1140,2006,2006,84500
983,813.0,4.0,0,400,4,380,483,0,1963.0,1796,1,7056,71.0,415.0,50,5,6,780,1963,1963,140000
1118,912.0,4.0,0,156,5,692,551,2,1976.0,2030,0,12046,69.0,298.0,224,6,6,848,1976,1976,195000
1026,981.0,3.0,3,765,0,252,812,-1,2008.0,2007,2,11003,85.0,160.0,52,5,10,1017,2008,2008,310000
691,0.0,2.0,0,0,2,691,216,1,1920.0,691,2,5400,60.0,0.0,20,6,5,691,1920,1950,86000
786,0.0,3.0,0,0,2,768,676,0,2008.0,1590,0,9000,75.0,0.0,30,5,8,768,2008,2008,210000
1216,639.0,4.0,0,444,3,550,325,1,1954.0,1855,1,9525,75.0,0.0,0,4,6,994,1954,1972,136900
1028,776.0,3.0,0,0,2,994,442,2,1999.0,1804,0,7500,60.0,0.0,60,5,7,994,1999,1999,189000
884,884.0,3.0,0,550,0,334,543,-1,2003.0,1768,0,8158,65.0,252.0,63,5,7,884,2003,2003,224900
1831,1796.0,4.0,1,1387,0,543,807,2,1995.0,3627,0,35760,118.0,1378.0,76,5,10,1930,1995,1996,625000
1298,0.0,3.0,0,1258,0,40,403,-1,1985.0,1298,0,11200,69.0,85.0,26,5,6,1298,1985,1985,180000
1801,0.0,1.0,0,1247,1,254,484,2,1959.0,1801,1,15602,100.0,0.0,54,8,7,1501,1959,1997,289000
630,0.0,1.0,3,553,0,77,0,-1,1979.0,630,2,1533,21.0,0.0,0,7,5,630,1970,1970,92000
1103,0.0,2.0,0,397,4,706,440,-1,1976.0,1103,0,6000,50.0,0.0,120,6,6,1103,1925,1980,110500
859,319.0,2.0,2,0,2,859,384,0,1964.0,1178,1,8712,66.0,0.0,0,7,4,859,1900,1950,102776
1196,0.0,2.0,0,197,5,999,440,1,1957.0,1196,1,4800,40.0,0.0,0,7,4,1196,1916,1990,109900
1372,0.0,3.0,0,0,2,1372,529,2,2008.0,1372,0,8640,72.0,0.0,140,5,7,1372,2007,2008,250580
1431,0.0,3.0,1,371,0,728,296,0,1962.0,1431,1,9150,101.0,305.0,110,5,6,1099,1962,1962,165000
1422,0.0,3.0,3,0,2,1422,626,0,2004.0,1422,0,8500,63.0,106.0,60,5,7,1422,2004,2004,179600
1079,874.0,3.0,3,985,0,595,501,2,1992.0,1953,0,53107,69.0,0.0,231,5,6,1580,1992,1992,240000
1121,0.0,2.0,0,0,2,1121,440,0,2003.0,1121,1,8546,80.0,0.0,64,5,4,1121,2003,2004,140000
1143,1330.0,4.0,3,0,2,1143,852,-1,2004.0,2473,0,9591,76.0,344.0,151,5,8,1143,2004,2005,317000
1057,0.0,3.0,0,417,3,640,576,2,1977.0,1057,1,7420,70.0,0.0,0,5,5,1057,1962,1962,132000
1110,0.0,3.0,3,1097,0,0,602,2,1978.0,1110,0,9101,69.0,104.0,30,6,5,1097,1978,1978,165500
1164,1106.0,4.0,0,524,0,628,671,2,1999.0,2270,0,11764,92.0,348.0,57,7,8,1152,1999,2007,290000
2018,0.0,3.0,1,0,2,2002,746,2,2009.0,2018,2,13214,89.0,0.0,76,5,9,2002,2008,2009,378500
672,714.0,3.0,2,438,3,234,440,2,1978.0,1386,1,11616,69.0,328.0,0,5,6,672,1978,1978,158900
1082,871.0,3.0,2,0,2,1082,1043,0,2005.0,1953,0,10574,85.0,0.0,50,5,8,1082,2005,2006,252000
1337,0.0,2.0,0,733,0,604,462,0,1993.0,1337,0,5395,41.0,0.0,0,5,8,1337,1993,1993,180000
997,1288.0,4.0,0,0,2,969,648,2,2000.0,2285,0,11000,69.0,72.0,56,5,8,969,2000,2000,248000
1718,0.0,3.0,1,1288,0,417,826,0,2007.0,1718,0,10637,79.0,336.0,44,5,8,1705,2007,2008,297000
1086,0.0,3.0,3,516,1,380,484,0,1966.0,1086,1,13400,85.0,1047.0,0,5,5,1024,1966,1966,159950
1555,0.0,2.0,0,0,2,1373,660,2,2007.0,1555,0,3684,53.0,130.0,20,5,7,1373,2007,2007,174000
1902,0.0,3.0,3,1406,0,496,567,2,1959.0,1902,2,17500,100.0,0.0,207,8,7,1902,1959,2002,335000
1298,1216.0,4.0,0,1216,5,0,693,2,1990.0,2514,1,11170,69.0,0.0,0,5,7,1216,1990,1991,250000
1224,0.0,2.0,3,1086,0,0,528,1,1979.0,1224,1,7018,64.0,275.0,0,5,5,1086,1979,1979,153337
1054,0.0,3.0,0,602,1,14,460,1,1969.0,1054,1,9750,65.0,0.0,0,8,6,1054,1969,1969,151000
1276,1336.0,4.0,0,854,0,371,676,2,1998.0,2612,0,12203,98.0,975.0,0,5,8,1225,1998,1999,336000
902,0.0,3.0,0,599,0,277,288,1,1967.0,902,1,6173,69.0,75.0,0,6,5,876,1967,1967,125500
1153,0.0,4.0,0,692,0,153,484,0,1983.0,2353,2,13005,94.0,278.0,195,7,7,845,1980,1980,260000
689,703.0,3.0,0,378,0,311,299,2,1977.0,1392,1,10900,69.0,153.0,36,7,6,689,1977,1977,161750
1155,0.0,3.0,3,899,1,210,576,1,1987.0,1155,0,11782,88.0,0.0,0,7,5,1109,1961,1995,148000
1136,768.0,3.0,0,180,3,676,240,1,1950.0,1904,1,7200,60.0,0.0,0,4,5,1208,1950,1982,138000
950,208.0,3.0,0,0,2,862,208,0,1929.0,1158,1,6000,50.0,0.0,0,7,6,862,1929,1950,120000
751,611.0,3.0,2,0,2,611,502,2,1920.0,1362,1,6155,60.0,0.0,0,8,6,611,1920,1999,128000
1005,1286.0,4.0,0,0,2,975,429,2,1999.0,2291,0,8738,66.0,302.0,0,5,7,975,1999,1999,230000
649,668.0,3.0,0,0,2,649,250,1,1920.0,1317,1,8500,50.0,0.0,54,4,4,649,1920,1950,40000
1734,0.0,3.0,0,1004,0,730,928,-1,2007.0,1734,2,12085,93.0,328.0,0,5,8,1734,2007,2007,318000
1194,0.0,3.0,0,0,2,1194,312,0,1959.0,1194,1,8760,73.0,220.0,0,6,6,1194,1959,1959,148000
876,540.0,4.0,2,0,2,876,720,1,1949.0,1416,1,12665,100.0,0.0,0,8,5,876,1915,1950,153900
1383,0.0,3.0,2,1064,4,319,354,-1,1954.0,1383,1,13284,69.0,0.0,116,5,5,1383,1954,1954,165000
1001,1001.0,3.0,0,284,4,717,871,1,1949.0,2002,1,6270,82.0,0.0,0,6,5,1001,1949,1950,145000
1496,0.0,3.0,3,0,2,1496,474,-1,2007.0,1496,0,9158,76.0,140.0,130,5,8,1496,2007,2007,225000
984,620.0,3.0,0,408,-1,156,660,1,1977.0,1604,1,10998,60.0,0.0,68,5,5,984,1941,1960,117000
764,0.0,2.0,0,0,2,680,504,1,1965.0,764,1,5232,30.0,0.0,0,5,5,680,1925,2004,73000
977,755.0,3.0,0,0,-1,741,476,2,1985.0,1732,0,9206,77.0,336.0,46,5,6,741,1985,1985,178000
1494,0.0,3.0,3,0,2,1494,840,0,2006.0,1494,0,10652,91.0,306.0,33,5,7,1494,2006,2007,279500
986,0.0,2.0,0,0,2,960,180,1,1926.0,986,1,6180,60.0,0.0,128,5,6,960,1926,1950,102000
1145,0.0,2.0,0,16,0,1129,397,2,2005.0,1145,0,3182,43.0,11.0,16,5,7,1145,2005,2006,160200
742,742.0,3.0,0,0,2,742,0,-1,1979.0,1484,1,6300,35.0,0.0,291,6,6,742,1914,2001,128000
1344,0.0,3.0,0,111,0,354,525,0,1958.0,1344,0,14375,69.0,541.0,118,6,6,819,1958,1958,137500
958,581.0,3.0,0,0,2,650,686,1,1983.0,1539,0,10440,60.0,0.0,78,8,5,650,1904,2002,157500
1134,1370.0,4.0,0,0,2,1122,656,2,2005.0,2504,2,11198,77.0,245.0,39,5,9,1122,2005,2007,325000
747,0.0,1.0,2,0,2,600,528,1,1953.0,747,1,5825,52.0,108.0,0,5,4,600,1926,1953,79900
1108,989.0,3.0,3,975,0,133,583,0,1998.0,2097,0,9750,75.0,0.0,170,6,7,1108,1998,1998,274300
3138,1538.0,3.0,1,2260,0,878,884,2,2007.0,4676,2,40094,130.0,762.0,406,5,10,3138,2007,2008,184750
786,390.0,2.0,0,0,2,698,624,1,1999.0,1176,1,6000,50.0,0.0,0,9,6,698,1937,2000,134900
720,0.0,2.0,0,495,3,225,0,-1,1979.0,720,1,7879,60.0,0.0,523,5,4,720,1920,1950,34900
1580,0.0,3.0,0,0,2,1580,830,0,2008.0,1580,0,11932,92.0,186.0,24,5,8,1580,2007,2008,235128
1440,0.0,4.0,1,1440,-1,0,0,-1,1979.0,1440,1,7711,42.0,0.0,0,3,4,1440,1977,1977,150000
738,0.0,3.0,0,193,0,545,540,2,2005.0,1476,0,8633,64.0,0.0,35,5,6,738,2005,2005,173500
1500,0.0,3.0,3,20,0,1480,570,0,2004.0,1500,0,8487,63.0,210.0,36,5,7,1500,2004,2004,190000
884,464.0,3.0,0,0,-1,884,216,1,1960.0,1348,1,6000,50.0,0.0,0,8,5,884,1925,1997,117000
1200,0.0,1.0,2,661,0,203,884,1,1977.0,1200,0,9230,71.0,166.0,64,8,5,864,1965,1998,146000
1394,0.0,3.0,0,609,4,785,514,0,1963.0,1394,1,9500,69.0,247.0,76,5,6,1394,1963,1963,159000
800,832.0,4.0,0,400,0,336,484,1,1966.0,1632,0,9130,69.0,252.0,40,8,6,800,1966,2000,173000
912,0.0,3.0,0,842,1,70,336,1,1974.0,912,1,8521,70.0,0.0,0,5,5,912,1967,1967,125000
1370,1254.0,4.0,0,1128,4,242,864,1,1918.0,2624,1,22420,86.0,0.0,0,6,6,1370,1918,1950,239000
1696,0.0,3.0,0,0,2,1140,349,-1,1962.0,1696,1,13673,40.0,0.0,30,5,5,1140,1962,1962,143900
682,548.0,2.0,0,0,2,440,440,1,1966.0,1230,1,10440,60.0,0.0,0,6,5,440,1910,1981,110000
1549,1178.0,3.0,0,297,3,556,440,1,1932.0,2727,0,10570,70.0,0.0,74,8,8,853,1932,1994,315000
728,728.0,3.0,0,0,2,728,429,0,2006.0,1456,1,15578,105.0,0.0,0,5,6,728,2006,2006,172785
864,0.0,3.0,0,375,-1,250,660,1,1989.0,864,0,6960,60.0,0.0,0,6,4,864,1970,1970,120500
970,739.0,3.0,0,0,2,970,380,1,2004.0,1709,0,2522,24.0,50.0,40,5,6,970,2004,2006,130000
810,855.0,3.0,0,643,0,167,528,2,2001.0,1665,0,8400,70.0,0.0,45,6,8,810,2001,2001,227000
1372,1274.0,3.0,1,987,0,360,656,0,1993.0,2646,0,9900,90.0,256.0,60,5,7,1347,1993,1993,260000
798,0.0,3.0,0,0,2,798,595,0,2003.0,1640,0,7226,72.0,0.0,45,5,7,798,2003,2003,183000
1014,685.0,3.0,2,440,4,538,420,1,1920.0,1699,1,10615,107.0,0.0,74,5,3,978,1900,1970,95000
1663,0.0,2.0,1,1116,4,248,529,-1,1954.0,1663,0,53227,69.0,0.0,137,6,4,1364,1954,1994,256000
1728,0.0,6.0,0,1332,3,396,504,1,1963.0,1728,1,9100,70.0,336.0,0,5,5,1728,1963,1963,125000
1055,790.0,3.0,0,0,2,1055,462,0,1992.0,1845,0,11218,70.0,0.0,104,5,6,1055,1992,1992,189000
1020,831.0,3.0,1,536,4,169,440,0,1964.0,1851,0,9760,80.0,340.0,42,8,6,822,1964,1993,187000
1489,0.0,3.0,0,0,2,1489,776,0,2006.0,1489,0,11216,81.0,0.0,140,5,8,1489,2006,2006,232600
864,0.0,2.0,0,612,3,252,300,1,2008.0,864,1,9100,70.0,0.0,0,6,6,864,1959,1959,127500
1256,0.0,3.0,0,830,4,136,276,2,1965.0,1256,1,9937,75.0,0.0,68,6,5,1256,1965,1965,147500
816,0.0,2.0,0,816,-1,0,816,2,1985.0,816,1,6600,60.0,0.0,0,8,5,816,1982,2003,138000
902,918.0,4.0,1,454,1,410,492,1,1965.0,1820,0,13700,69.0,288.0,84,6,7,864,1965,1988,201800
912,1215.0,4.0,2,48,4,422,833,0,1991.0,2127,0,13125,103.0,0.0,192,5,7,1104,1991,1991,238000
1065,0.0,3.0,0,0,2,1065,461,1,1974.0,1065,1,8892,80.0,66.0,0,5,5,1065,1960,1960,126500
1200,0.0,4.0,0,0,2,1200,312,1,1923.0,1200,1,11340,84.0,0.0,0,5,6,1200,1923,1950,125000
1208,0.0,2.0,3,686,0,501,632,0,2006.0,1208,0,6762,64.0,24.0,61,5,7,1187,2006,2006,206000
1133,1349.0,4.0,1,0,2,1094,642,2,2005.0,2482,0,12665,88.0,245.0,39,5,8,1094,2005,2006,281213
1720,0.0,3.0,0,919,0,801,527,2,1996.0,1720,0,10593,59.0,338.0,56,5,7,1720,1996,1996,260400
840,0.0,3.0,0,116,5,556,0,-1,1979.0,840,1,4388,55.0,0.0,0,7,5,672,1930,1950,87000
1294,0.0,3.0,0,1200,0,78,496,-1,1991.0,1294,0,7153,69.0,88.0,51,5,6,1278,1991,1991,179200
1090,0.0,2.0,0,980,1,110,450,2,2005.0,1090,1,7024,60.0,0.0,49,5,5,1090,2005,2006,157000
1165,0.0,4.0,0,0,2,1141,420,2,1998.0,2263,0,12090,93.0,650.0,123,5,8,1141,1998,1998,258000
969,0.0,3.0,3,716,4,253,440,1,1975.0,969,1,10356,120.0,0.0,0,6,5,969,1975,1975,122000
894,0.0,2.0,0,0,2,894,1248,0,1994.0,894,1,18000,120.0,0.0,20,4,3,894,1935,1950,81000
1028,0.0,2.0,0,0,2,1008,360,1,1927.0,1028,1,8960,56.0,0.0,0,6,5,1008,1927,1950,115000
979,979.0,4.0,0,484,3,495,492,1,1946.0,1958,1,7136,82.0,423.0,0,6,6,979,1946,1950,145000
1795,0.0,2.0,3,0,2,1795,895,0,2007.0,1795,0,9986,75.0,428.0,49,5,8,1795,2006,2007,147000
1940,0.0,3.0,3,1646,0,284,606,2,2010.0,1940,2,10159,83.0,450.0,95,5,9,1930,2009,2010,395192
1178,0.0,3.0,0,1084,4,92,439,1,1973.0,1178,0,10000,80.0,0.0,0,6,5,1176,1973,2000,157000
810,672.0,3.0,0,156,4,516,400,1,1934.0,1482,3,12155,69.0,0.0,0,8,6,672,1925,1950,140000
1428,0.0,3.0,0,0,-1,1417,554,0,2008.0,1428,2,12274,91.0,256.0,60,5,7,1417,2008,2008,227680
864,0.0,3.0,3,460,4,404,338,1,1972.0,864,1,15523,36.0,0.0,0,6,5,864,1972,1972,133500
616,495.0,3.0,2,236,5,0,200,1,1941.0,1111,1,9084,60.0,0.0,0,6,5,616,1941,1950,95000
680,790.0,3.0,0,310,-1,370,420,2,1993.0,1470,1,9765,69.0,68.0,63,8,6,680,1993,1993,185000
1116,0.0,3.0,0,0,2,1116,440,1,1962.0,1116,1,10000,87.0,261.0,0,6,6,1116,1962,1962,160000
864,0.0,2.0,0,414,-1,450,288,1,1959.0,864,0,7332,60.0,207.0,0,6,6,864,1959,1959,120000
1297,0.0,3.0,0,1213,3,84,498,2,1954.0,1297,1,8532,74.0,650.0,0,6,5,1297,1954,1990,153000
1113,0.0,3.0,0,607,1,506,264,1,1950.0,1113,0,9600,80.0,0.0,80,7,5,1113,1950,2007,147000
1501,0.0,3.0,1,679,0,811,577,0,1999.0,1501,0,10335,78.0,183.0,29,5,7,1490,1999,1999,204000
764,783.0,3.0,2,24,0,732,614,1,2009.0,1547,0,8640,72.0,0.0,45,5,7,756,2009,2009,215200
991,956.0,3.0,0,222,0,769,678,0,2004.0,1947,0,12552,100.0,0.0,136,5,7,991,2004,2005,254900
1717,0.0,3.0,3,0,2,1709,908,0,2006.0,1717,0,11146,87.0,250.0,39,5,8,1709,2006,2006,255500
1052,0.0,3.0,3,504,-1,506,440,1,1971.0,1052,1,8816,80.0,80.0,0,7,6,1010,1971,1971,155000
1127,886.0,3.0,3,862,-1,255,455,1,1997.0,2013,1,9920,92.0,0.0,130,5,7,1117,1996,1997,269790
1266,0.0,2.0,3,0,2,1266,388,2,2007.0,1266,0,3182,43.0,16.0,16,5,7,1266,2007,2007,159895
1992,876.0,4.0,3,240,0,1752,716,2,2005.0,2868,2,16056,85.0,208.0,108,5,9,1992,2005,2006,556581
980,1276.0,4.0,0,300,0,652,554,2,2000.0,2256,0,8795,69.0,0.0,54,5,7,952,2000,2000,236000
1414,0.0,3.0,3,24,0,1390,494,0,2004.0,1414,0,8773,65.0,98.0,105,5,7,1414,2004,2004,185500
936,785.0,3.0,0,814,0,114,471,-1,1994.0,1721,0,8462,70.0,105.0,87,5,6,928,1994,1994,201000
811,741.0,3.0,0,550,1,163,434,0,1975.0,1552,1,11475,85.0,0.0,208,6,6,713,1975,1975,179900
698,430.0,2.0,0,0,2,698,528,0,1980.0,1128,1,7500,60.0,0.0,0,4,4,698,1920,1950,68400
1118,0.0,3.0,3,522,1,574,358,2,1977.0,1118,1,9880,76.0,0.0,0,6,6,1096,1977,1977,171000
1728,0.0,4.0,1,936,3,396,574,1,1976.0,1728,1,12640,55.0,0.0,0,5,6,1728,1976,1976,150900
1686,762.0,4.0,0,1361,0,88,711,0,1994.0,2448,0,46589,52.0,528.0,76,7,8,1629,1994,2005,402000
1473,0.0,1.0,1,1324,0,113,452,1,1968.0,1473,2,25095,65.0,0.0,48,8,5,1437,1968,2003,143000
1187,530.0,3.0,2,902,5,254,400,0,1990.0,1717,0,13758,44.0,117.0,36,5,7,1156,1990,1991,187500
1166,0.0,2.0,1,655,0,201,400,2,2005.0,1166,0,9587,59.0,182.0,0,5,7,856,2005,2005,190000
1370,0.0,2.0,2,24,0,1346,484,0,2006.0,1370,0,6442,44.0,178.0,49,5,8,1370,2006,2006,202500
1724,0.0,3.0,3,528,1,1152,480,0,1967.0,1724,1,17871,69.0,359.0,0,5,6,1680,1967,1976,197900
970,739.0,3.0,0,0,2,970,380,1,2004.0,1709,0,2522,24.0,50.0,40,5,7,970,2004,2004,130000
483,0.0,2.0,0,358,1,125,264,1,1971.0,987,1,1680,21.0,604.0,0,3,6,483,1971,1971,89500
901,901.0,4.0,0,352,5,441,216,1,1920.0,1802,1,7588,54.0,0.0,0,6,7,793,1920,1950,200100
1170,1175.0,4.0,0,503,3,449,360,1,1932.0,2345,1,16560,80.0,0.0,0,8,6,952,1932,1950,239000
1068,0.0,3.0,0,663,0,396,264,0,1963.0,1068,1,8414,70.0,0.0,0,8,6,1059,1963,2003,154500
1617,0.0,2.0,0,165,5,598,533,-1,1993.0,1617,0,8012,50.0,0.0,69,5,6,1604,1993,1994,193000
1244,0.0,3.0,0,777,3,467,336,1,1957.0,1244,1,11988,90.0,0.0,40,6,6,1244,1957,1957,150000
1180,0.0,2.0,0,0,2,700,252,1,1922.0,1180,3,11600,80.0,0.0,0,5,4,700,1922,1950,137500
520,623.0,2.0,0,0,2,600,480,0,2005.0,1223,0,2544,24.0,0.0,166,5,7,600,2005,2005,147400
1686,0.0,3.0,0,625,4,0,612,1,1980.0,1686,1,10240,79.0,157.0,131,6,6,1686,1980,1980,207500
1646,0.0,3.0,1,1513,0,125,800,0,2008.0,1646,0,9520,71.0,338.0,44,5,8,1638,2007,2008,293077
1144,0.0,3.0,0,594,4,270,264,0,1961.0,1144,1,10000,80.0,0.0,0,6,5,864,1961,1983,131400
939,858.0,3.0,3,0,2,939,639,-1,2006.0,1797,0,9245,79.0,0.0,53,5,7,939,2006,2006,213500
1224,0.0,2.0,-1,0,-1,0,462,1,1962.0,1224,1,9842,70.0,0.0,0,5,4,0,1962,1962,101800
992,873.0,3.0,0,735,0,257,839,-1,2000.0,1865,0,10316,69.0,0.0,184,5,7,992,2000,2000,235000
1056,0.0,3.0,0,846,3,210,308,0,1958.0,1056,1,8176,70.0,0.0,0,6,5,1056,1958,1992,139000
1966,1174.0,4.0,0,0,2,1926,820,2,2009.0,3140,2,13518,104.0,860.0,78,5,9,1926,2008,2009,485000
1212,0.0,3.0,3,506,1,0,492,1,1978.0,1212,1,8471,88.0,46.0,12,7,6,506,1977,1995,151000
